timestamp,duration_ms,type,ear_min,ear_avg
2025-10-17 19:43:51,124,dot,0.2246,
2025-10-17 19:43:51,109,dot,0.2204,
2025-10-17 19:43:51,60,dot,0.2201,
2025-10-17 19:43:52,95,dot,0.2239,
2025-10-17 19:43:52,63,dot,0.2436,
2025-10-17 19:43:54,67,dot,0.2232,
2025-10-17 19:43:55,239,dot,0.2342,
2025-10-17 19:43:56,115,dot,0.2275,
2025-10-17 19:43:56,93,dot,0.2339,
2025-10-17 19:43:57,396,dash,0.2234,
2025-10-17 19:43:57,208,dot,0.221,
2025-10-17 19:43:58,162,dot,0.2403,
2025-10-17 19:43:58,194,dot,0.2258,
2025-10-17 19:43:59,959,dash,0.2294,
2025-10-17 19:43:59,64,dot,0.2206,
2025-10-17 19:44:00,538,dash,0.2294,
2025-10-17 19:44:02,1169,dash,0.2205,
2025-10-17 19:44:02,318,dash,0.2202,
2025-10-17 19:44:02,208,dot,0.226,
2025-10-17 19:44:04,96,dot,0.2356,
2025-10-17 19:44:05,161,dot,0.2594,
2025-10-17 19:44:06,1100,dash,0.2317,
2025-10-17 19:44:09,145,dot,0.262,
2025-10-17 19:44:09,77,dot,0.2249,
2025-10-17 19:44:09,182,dot,0.2525,
2025-10-17 19:44:18,1919,dash,0.224,
2025-10-17 19:44:20,1331,dash,0.2223,
2025-10-17 19:44:22,994,dash,0.237,
2025-10-17 19:44:23,161,dot,0.2203,
2025-10-17 19:44:26,93,dot,0.2244,
2025-10-17 19:44:28,1854,dash,0.2353,
2025-10-17 19:44:29,418,dash,0.2362,
2025-10-17 19:44:30,88,dot,0.2221,
2025-10-17 19:44:31,456,dash,0.2545,
2025-10-17 19:44:37,243,dot,0.2201,
2025-10-17 19:44:38,299,dot,0.2339,
2025-10-17 19:44:39,150,dot,0.2516,
2025-10-17 19:44:44,99,dot,0.2397,
2025-10-17 19:44:45,140,dot,0.24,
2025-10-17 19:44:45,62,dot,0.2375,
2025-10-17 19:44:46,96,dot,0.2262,
2025-10-17 19:44:46,97,dot,0.2207,
2025-10-17 19:44:46,95,dot,0.2354,
2025-10-17 19:44:46,204,dot,0.2282,
2025-10-17 19:44:47,602,dash,0.2214,
2025-10-17 19:44:47,127,dot,0.243,
2025-10-17 19:44:47,90,dot,0.2299,
2025-10-17 19:44:48,94,dot,0.226,
2025-10-17 19:44:48,60,dot,0.2345,
2025-10-17 19:44:48,110,dot,0.2351,
2025-10-17 19:44:48,90,dot,0.2205,
2025-10-17 19:44:49,263,dot,0.2231,
2025-10-17 19:44:49,165,dot,0.2248,
2025-10-17 19:44:50,126,dot,0.2238,
2025-10-17 19:44:50,105,dot,0.2258,
2025-10-17 19:44:50,78,dot,0.2553,
2025-10-17 19:44:51,62,dot,0.2219,
2025-10-17 19:44:51,154,dot,0.226,
2025-10-17 19:44:51,458,dash,0.2219,
2025-10-17 19:44:52,579,dash,0.2324,
2025-10-17 19:44:52,125,dot,0.2302,
2025-10-17 19:44:52,144,dot,0.2214,
2025-10-17 19:44:53,329,dash,0.233,
2025-10-17 19:44:53,218,dot,0.225,
2025-10-17 19:44:54,455,dash,0.2285,
2025-10-17 19:44:55,702,dash,0.2209,
2025-10-17 19:44:55,803,dash,0.2203,
2025-10-17 19:44:56,92,dot,0.2204,
2025-10-17 19:44:56,266,dot,0.2287,
2025-10-17 19:44:56,192,dot,0.2233,
2025-10-17 19:44:56,148,dot,0.2344,
2025-10-17 19:44:57,587,dash,0.2254,
2025-10-17 19:44:57,244,dot,0.2328,
2025-10-17 19:44:58,183,dot,0.2295,
2025-10-17 19:44:58,63,dot,0.2244,
2025-10-17 19:44:58,62,dot,0.2299,
2025-10-17 19:44:58,76,dot,0.2377,
2025-10-17 19:44:58,247,dot,0.2263,
2025-10-17 19:44:59,246,dot,0.2471,
2025-10-17 19:44:59,183,dot,0.2349,
2025-10-17 19:44:59,142,dot,0.225,
2025-10-17 19:44:59,154,dot,0.2523,
2025-10-17 19:45:00,96,dot,0.2296,
2025-10-17 19:45:00,185,dot,0.2295,
2025-10-17 19:45:02,65,dot,0.2289,
2025-10-17 19:45:02,61,dot,0.2265,
2025-10-17 19:45:03,94,dot,0.2235,
2025-10-17 19:45:04,62,dot,0.2224,
2025-10-17 19:45:05,63,dot,0.238,
2025-10-17 19:45:05,163,dot,0.2354,
2025-10-17 19:45:05,78,dot,0.2302,
2025-10-17 19:45:06,245,dot,0.2201,
2025-10-17 19:45:06,86,dot,0.2248,
2025-10-17 19:45:06,128,dot,0.2315,
2025-10-17 19:45:06,318,dash,0.2238,
2025-10-17 19:45:07,346,dash,0.2202,
2025-10-17 19:45:07,205,dot,0.2294,
2025-10-17 19:45:07,60,dot,0.2289,
2025-10-17 19:45:07,114,dot,0.2223,
2025-10-17 19:45:07,61,dot,0.2349,
2025-10-17 19:45:08,258,dot,0.2255,
2025-10-17 19:45:08,383,dash,0.2211,
2025-10-17 19:45:08,190,dot,0.2319,
2025-10-17 19:45:09,93,dot,0.23,
2025-10-17 19:45:09,123,dot,0.2315,
2025-10-17 19:45:09,73,dot,0.2288,
2025-10-17 19:45:10,62,dot,0.2243,
2025-10-17 19:45:10,149,dot,0.2267,
2025-10-17 19:45:11,75,dot,0.2211,
2025-10-17 19:45:11,112,dot,0.2257,
2025-10-17 19:45:11,286,dot,0.2249,
2025-10-17 19:45:11,90,dot,0.2275,
